(19, 448, 30)
(11, 148, 1)
(11, 132, 16)
(11, 170, 9)
(11, 184, 18)
(11, 135, 19)
(16, 1187, 33)
(27, 668, 13)
(28, 807, 43)
(28, 818, 45)
(15, 871, 48)
(14, 214, 22)
(2, 90, 10)
(12, 355, 1)
(12, 389, 25)
(12, 1853, 28)
(12, 403, 27)
(12, 339, 26)
(7, 313, 24)
(22, 1938, 37)
(23, 563, 33)
(23, 558, 35)
(11, 1781, 1)
(11, 142, 1)
(11, 133, 9)
(16, 1157, 1)
(16, 1152, 1)
(16, 1170, 1)
(16, 1171, 1)
(25, 1411, 11)
(33, 1360, 54)
(33, 1369, 51)
(32, 1093, 1)
(24, 930, 11)
(28, 822, 44)
(15, 832, 1)
(15, 1708, 21)
(14, 189, 1)
(14, 190, 1)
(31, 1038, 53)
(2, 1545, 2)
(12, 366, 1)
(12, 388, 17)
(12, 402, 27)
(12, 387, 19)
(26, 1490, 1)
(23, 552, 36)
(11, 126, 1)
(11, 132, 17)
(11, 178, 9)
(25, 1405, 1)
(25, 1413, 27)
(33, 1357, 1)
(33, 1316, 54)
(15, 856, 1)
(21, 501, 1)
(12, 1616, 25)
(12, 381, 26)
(8, 734, 40)
(33, 1345, 1)
(33, 1336, 1)
(27, 655, 1)
(32, 1063, 1)
(24, 949, 11)
(28, 823, 44)
(36, 1224, 35)
(15, 875, 21)
(15, 883, 21)
(14, 1804, 1)
(14, 201, 1)
(14, 1589, 1)
(31, 1034, 52)
(12, 360, 1)
(3, 1895, 5)
(22, 616, 35)
(37, 1457, 10)
(10, 534, 1)
(11, 144, 1)
(11, 185, 17)
(16, 1168, 33)
(35, 1436, 1)
(27, 667, 25)
(27, 653, 14)
(28, 755, 1)
(15, 886, 25)
(12, 401, 27)
(23, 564, 36)
(11, 1783, 1)
(11, 1798, 16)
(11, 1794, 18)
(25, 1398, 1)
(33, 1377, 51)
(32, 1080, 1)
(32, 1126, 54)
(28, 782, 43)
(15, 897, 46)
(21, 489, 15)
(14, 217, 22)
(31, 1012, 1)
(12, 1863, 25)
(12, 351, 19)
(7, 1823, 1)
(23, 552, 1)
(37, 1445, 8)
(19, 423, 1)
(11, 162, 1)
(16, 1156, 33)
(25, 1418, 32)
(33, 1372, 54)
(24, 952, 50)
(28, 756, 45)
(14, 219, 1)
(14, 1596, 22)
(12, 390, 19)
(13, 1209, 9)
(5, 28, 2)
(5, 30, 2)
(5, 37, 7)
(3, 1638, 1)
(4, 1677, 4)
(23, 554, 1)
(11, 157, 1)
(11, 1791, 9)
(16, 1177, 19)
(25, 1409, 27)
(24, 960, 11)
(28, 752, 1)
(28, 1701, 43)
(15, 866, 1)
(21, 482, 14)
(14, 212, 21)
(12, 332, 1)
(26, 1496, 23)
(3, 1651, 31)
(10, 1916, 1)
(11, 1768, 1)
(11, 158, 16)
(11, 144, 9)
(8, 1688, 1)
(33, 1318, 51)
(32, 1052, 1)
(32, 1072, 54)
(28, 762, 1)
(28, 793, 6)
(15, 835, 46)
(21, 1900, 1)
(21, 478, 33)
(7, 258, 1)
(3, 458, 1)
(3, 1638, 31)
(4, 633, 1)
(22, 617, 37)
(11, 1780, 1)
(25, 1412, 11)
(33, 1375, 54)
(27, 647, 14)
(28, 811, 43)
(36, 1235, 29)
(15, 885, 28)
(15, 895, 46)
(15, 877, 48)
(21, 495, 1)
(21, 512, 32)
(21, 1909, 15)
(14, 218, 1)
(9, 95, 12)
(12, 1850, 27)
(26, 1480, 1)
(4, 635, 1)
(17, 1257, 1)
(22, 592, 1)
(11, 164, 17)
(11, 1574, 18)
(16, 1174, 1)
(16, 1186, 33)
(8, 712, 5)
(24, 959, 11)
(28, 782, 1)
(28, 787, 6)
(36, 1214, 1)
(15, 854, 1)
(14, 193, 1)
(14, 232, 19)
(12, 1861, 25)
(12, 341, 19)
(12, 1613, 26)
(7, 1820, 1)
(22, 601, 37)
(11, 121, 16)
(11, 1582, 18)
(32, 1107, 29)
(24, 948, 1)
(24, 929, 1)
(28, 753, 1)
(28, 757, 45)
(36, 1245, 30)
(21, 514, 28)
(31, 1036, 52)
(12, 1836, 1)
(26, 1476, 1)
(5, 32, 8)
(4, 636, 4)
(37, 1463, 37)
(16, 1177, 34)
(25, 1394, 1)
(27, 641, 1)
(27, 1686, 1)
(27, 677, 14)
(32, 1092, 1)
(28, 773, 1)
(36, 1233, 11)
(15, 845, 25)
(21, 500, 1)
(14, 233, 22)
(14, 213, 20)
(12, 354, 26)
(30, 1009, 24)
(37, 1465, 10)
(11, 127, 1)
(16, 1171, 22)
(25, 1407, 1)
(8, 711, 5)
(15, 890, 25)
(21, 502, 1)
(21, 485, 32)
(14, 191, 1)
(14, 212, 1)
(14, 224, 1)
(14, 243, 20)
(12, 387, 28)
(7, 1828, 23)
(20, 977, 1)
(20, 979, 50)
(22, 618, 17)
(11, 156, 17)
(25, 1410, 1)
(8, 710, 1)
(33, 1356, 1)
(24, 931, 1)
(24, 963, 50)
(24, 939, 11)
(29, 925, 41)
(29, 923, 42)
(28, 803, 41)
(36, 1240, 30)
(15, 865, 21)
(21, 474, 28)
(14, 203, 19)
(31, 1044, 53)
(12, 380, 26)
(5, 35, 1)
(5, 32, 6)
(7, 306, 13)
(19, 431, 23)
(11, 135, 1)
(25, 1388, 1)
(25, 1414, 27)
(8, 696, 40)
(33, 1326, 54)
(32, 1091, 51)
(29, 916, 1)
(28, 781, 1)
(28, 757, 44)
(15, 869, 1)
(14, 192, 19)
(31, 1046, 53)
(12, 1842, 1)
(12, 351, 1)
(4, 1682, 15)
(4, 1670, 15)
(22, 595, 1)
(19, 445, 30)
(11, 152, 1)
(11, 181, 16)
(33, 1324, 1)
(33, 1362, 29)
(32, 1062, 1)
(32, 1103, 5)
(24, 962, 35)
(28, 750, 1)
(28, 821, 43)
(28, 793, 42)
(36, 1238, 30)
(15, 885, 46)
(21, 1905, 1)
(21, 485, 1)
(31, 1042, 38)
(9, 102, 1)
(26, 1484, 1)
(5, 37, 6)
(7, 295, 13)
(23, 1937, 34)
(11, 161, 16)
(11, 176, 9)
(11, 136, 18)
(33, 1318, 1)
(32, 1054, 1)
(32, 1088, 38)
(24, 958, 51)
(28, 827, 43)
(28, 825, 43)
(15, 888, 46)
(12, 362, 1)
(12, 1612, 27)
(12, 322, 26)
(26, 1483, 1)
(5, 43, 9)
